3175,107.3,21,53.7
3946,108.7,20,54.5
3825,108.7,27,55.9
3560,107.3,19,54
3351,108.7,22,53.9
3415,107.5,17,54
3560,108.7,20,55.9
3044,101.2,18,55.1
3820,110.6,25,56.5
3814,108.7,19,55.9
3417,108.7,21,55.9
3370,110.6,28,56.3
4010,115,24,59.4
3415,107.5,,54
2778,106.3,24,54.8
3510,110.6,27,56.5
3410,110.6,27,56.3
3695,110.6,25,56.3
3781,107.5,17,53.9
3781,107.5,,53.7
3395,106.3,20,53.1
3605,110.6,26,56.3
2954,106.3,24,54.8
3627,108.7,20,55.9
3175,106.3,21,52.6
3867,110.6,27,56.5
3706,110.6,27,56.5
3296,106.3,21,53.1
3825,110.6,28,56.3
3219,107.3,21,55.7
3582,108.7,20,53.9
3491,106.3,21,52.6
3510,110.6,36,56.3
3915,115,26,59.4
3075,106.3,21,53.8
3285,107.3,21,53.9
3616,107.3,20,54
3759,108.7,19,53.9
3197,107.3,21,53.9
3461,107.3,20,56.5
3616,107.3,20,54
2865,101,18,53.9
2845,101.2,18,54.3
3055,101.2,18,53.9
3420,110.6,27,56.3
3197,107.3,21,53.9
3560,107.3,20,54
3593,108.7,20,55.9
2854,101.2,18,54.3
2866,106.3,22,54.8
3710,110.6,24,56.3
3695,110.6,34,56.5
3594,107.3,20,56.3
3086,106.3,20,54.8
3595,110.6,26,56.3
3351,106.3,20,53.1
3900,110.6,30,56.3
3790,110.6,35,56.3
4145,108.7,16,54.8
3352,106.3,22,53.1
2866,106.3,22,53.8
3362,108.7,22,55.9
3295,110.6,28,56.3
3792,108.7,20,54.5
4015,115,27,59.4
3605,108.7,20,55.9
3197,107.3,20,55.7
4103,115,23,59.4
3483,107.3,20,56.5
3704,108.7,16,55.6
3737,108.7,20,57.3
3620,110.6,35,56.3
3362,107.3,21,55.5
